Word,Word_Count
commercial,1
always,1
go,1
full,1
throttle,1
just,1
ambition,1
destiny,1
maximum,1
rate,1
capital,1
gains,1
History,1
savings,1
wont,1
competitive,1
leave,1
whole,1
sectors,1
behind,1
finally,1
enact,1
urban,1
enterprise,1
zones,1
bring,1
inner,1
cities,1
most,1
important,1
competitiveness,1
improves,1
education,1
When,1
students,1
actually,1
trouble,1
locating,1
map,1
reward,1
excellence,1
bureaucracy,1
parents,1
teachers,1
principals,1
hold,1
concerned,1
accountable,1
tolerate,1
mediocrity,1
want,1
dropout,1
literate,1
really,1
comes,1
longer,1
graduation,1
lines,1
shorter,1
unemployment,1
proposing,1
following,1
beginning,1
500,1
million,1
merit,1
creation,1
Presidential,1
awards,1
every,1
State,1
rewarded,1
establishment,1
Scholars,1
each,1
Member,1
generation,1
incentive,1
excel,1
science,1
mathematics,1
expanded,1
use,1
magnet,1
encourage,1
alternative,1
certification,1
let,1
talented,1
fields,1
teach,1
classrooms,1
Id,1
Education,1
join,1
me,1
becoming,1
Just,1
last,1
week,1
settled,1
office,1
received,1
letter,1
mother,1
Pennsylvania,1
who,1
had,1
been,1
struck,1
message,1
Inaugural,1
Address,1
Not,1
12,1
hours,1
she,1
wrote,1
husband,1
word,1
son,1
was,1
addicted,1
cocaine,1
He,1
his,1
feet,1
Bright,1
gifted,1
personable,1
he,1
done,1
anything,1
chosen,1
please,1
curb,1
supply,1
Get,1
tough,1
pushers,1
Our,1
needs,1
voice,1
crying,1
neighbor,1
friend,1
Over,1
23,1
used,1
illegal,1
drugs,1
staggering,1
cost,1
nations,1
wellbeing,1
Let,1
recorded,1
rose,1
scourge,1
stopped,1
am,1
asking,1
dollars,1
outlays,1
escalate,1
against,1
waged,1
fronts,1
drug,1
czar,1
Bill,1
Bennett,1
shoulder,1
leading,1
charge,1
money,1
expand,1
treatment,1
poor,1
mothers,1
helping,1
innocent,1
victims,1
thousands,1
babies,1
born,1
AIDS,1
addiction,1
devoted,1
where,1
emergency,1
worst,1
protect,1
borders,1
Coast,1
Guard,1
Customs,1
Service,1
Departments,1
Justice,1
US,1
military,1
mean,1
criminals,1
line,1
single,1
local,1
police,1
officers,1
asks,1
beefedup,1
prosecution,1
organized,1
crime,1
enforcement,1
sentences,1
kingpins,1
means,1
death,1
penalty,1
also,1
sure,1
dealer,1
convicted,1
theres,1
cell,1
him,1
prisons,1
youre,1
caught,1
interdiction,1
never,1
win,1
unless,1
demand,1
educate,1
dangers,1
involve,1
communities,1
concern,1
One,1
problem,1
related,1
demands,1
compassion,1
terrible,1
tragedy,1
16,1
prevent,1
disease,1
cure,1
attitude,1
environment,1
air,1
breathe,1
shortly,1
legislation,1
effective,1
Clean,1
Air,1
Act,1
include,1
reduce,1
date,1
certain,1
emissions,1
cause,1
acid,1
rain,1
study,1
passed,1
action,1
clean,1
coal,1
contains,1
schedule,1
agreement,1
weve,1
made,1
Canada,1
Weve,1
neglect,1
parks,1
fund,1
acquisitions,1
under,1
Land,1
Water,1
Conservation,1
Fund,1
oceans,1
support,1
penalties,1
dump,1
medical,1
waste,1
other,1
trash,1
age,1
needle,1
beaches,1
end,1
cases,1
gulfs,1
off,1
shores,1
promise,1
oil,1
gas,1
reserves,1
secure,1
less,1
dependent,1
foreign,1
tapped,1
safely,1
Alaska,1
Wildlife,1
Refuge,1
proceed,1
caution,1
calling,1
indefinite,1
postponement,1
three,1
lease,1
sales,1
troubling,1
questions,1
two,1
coast,1
California,1
threaten,1
Everglades,1
Florida,1
Action,1
these,1
await,1
conclusion,1
task,1
force,1
measure,1
potential,1
environmental,1
damage,1
directing,1
Attorney,1
General,1
Administrator,1
Environmental,1
Protection,1
Agency,1
tool,1
disposal,1
speed,1
toughen,1
laws,1
toxicwaste,1
dumpers,1
faster,1
cleanups,1
tougher,1
polluters,1
addition,1
caring,1
around,1
A,1
decent,1
shows,1
elderly,1
vulnerable,1
infants,1
living,1
poverty,1
proposed,1
recognizes,1
Medicaid,1
expansion,1
coverage,1
pregnant,1
women,1
near,1
working,1
cope,1
burden,1
aimed,1
lowincome,1
aim,1
efforts,1
exactly,1
discriminating,1
choose,1
stay,1
Now,1
know,1
there,1
competing,1
proposals,1
remember,1
overwhelming,1
majority,1
preschool,1
provided,1
relatives,1
neighbors,1
churches,1
community,1
groups,1
Families,1
options,1
remain,1
eligible,1
Parents,1
unwanted,1
abused,1
deceased,1
adoption,1
reenact,1
deduction,1
expenses,1
3000,1
Lets,1
easier,1
kids,1
love,1
contract,1
senior,1
Social,1
Security,1
fully,1
funded,1
including,1
costofliving,1
adjustment,1
shadow,1
deeply,1
troubled,1
plight,1
homeless,1
causes,1
homelessness,1
long,1
imperative,1
act,1
Thanks,1
deep,1
generosity,1
land,1
organizations,1
already,1
contribute,1
stand,1
sidelines,1
food,1
shelter,1
health,1
services,1
substance,1
abuse,1
clinics,1
mentally,1
ill,1
initiative,1
involving,1
range,1
agencies,1
confront,1
shame,1
Theres,1
another,1
issue,1
decided,1
mention,1
believed,1
Puerto,1
Rico,1
determine,1
political,1
Personally,1
strongly,1
favor,1
statehood,1
urge,1
necessary,1
steps,1
decide,1
referendum,1
Certain,1
result,1
decades,1
unwise,1
practices,1
Left,1
unattended,1
only,1
worse,1
Earlier,1
announced,1
restore,1
financial,1
integrity,1
reform,1
within,1
45,1
days,1
situation,1
fester,1
owe,1
savers,1
country,1
solve,1
Certainly,1
Insured,1
depositors,1
continue,1
protected,1
refinance,1
accompanied,1
major,1
recurring,1
answer,1
mess,1
happen,1
thrifts,1
across,1
Theyve,1
played,1
role,1
achieve,1
dream,1
ownership,1
mistake,1
corrupt,1
break,1
kicked,1
jail,1
face,1
massive,1
cleaning,1
nuclear,1
weapons,1
plants,1
Clearly,1
modernize,1
operate,1
depends,1
beyond,1
old,1
effort,1
identify,1
exact,1
nature,1
various,1
during,1
stronger,1
1980,1
Morale,1
Armed,1
Forces,1
restored,1
resolve,1
shown,1
readiness,1
improved,1
doubt,1
strength,1
safer,1
Most,1
realize,1
after,1
successful,1
restoration,1
Pentagon,1
reduced,1
4,1
reduction,1
defense,1
light,1
compelling,1
however,1
1year,1
freeze,1
something,1
flexible,1
apply,1
sacrifice,1
preparedness,1
compromise,1
conditions,1
attached,1
recommendation,1
coming,1
allocated,1
investing,1
spoken,1
part,1
comprehensive,1
meets,1
spelled,1
raising,1
incorporates,1
reforms,1
process,1
directed,1
Council,1
review,1
policies,1
report,1
90,1
capabilities,1
commitments,1
strategies,1
charging,1
Department,1
Defense,1
developing,1
procurement,1
management,1
implement,1
Packard,1
commission,1
Many,1
changes,1
participation,1
fewer,1
regulations,1
multiyear,1
frankly,1
wrong,1
congressional,1
micromanagement,1
policy,1
detect,1
slight,1
division,1
question,1
nevertheless,1
Securing,1
peaceful,1
perhaps,1
priority,1
extraordinary,1
Never,1
century,1
values,1
democracy,1
powerful,1
intellectual,1
globe,1
crucial,1
while,1
eyes,1
especially,1
Soviet,1
Union,1
Prudence,1
sense,1
dictate,1
try,1
meaning,1
going,1
then,1
personally,1
assured,1
Secretary,1
Gorbachev,1
move,1
forward,1
miss,1
fundamental,1
facts,1
Soviets,1
retain,1
machine,1
service,1
objectives,1
often,1
conflict,1
ours,1
openness,1
seriously,1
pressing,1
issues,1
vigorously,1
pursue,1
Strategic,1
Initiative,1
spread,1
sophisticated,1
weaponry,1
threatens,1
global,1
Chemical,1
banned,1
Earth,1
Verification,1
extraordinarily,1
difficult,1
civilization,1
human,1
decency,1
strengthen,1
International,1
Atomic,1
Energy,1
diplomacy,1
proliferation,1
freedoms,1
firm,1
selfdetermination,1
Central,1
Nicaragua,1
held,1
conviction,1
given,1
chance,1
inevitably,1
press,1
worship,1
certifiably,1
fair,1
elections,1
alliance,1
industrial,1
democracies,1
solid,1
known,1
forged,1
ideals,1
pettiness,1
differences,1
lift,1
sights,1
fighting,1
beef,1
hormones,1
protectionism,1
visit,1
Europe,1
consult,1
allies,1
wide,1
challenges,1
EastWest,1
relations,1
meeting,1
NATO,1
partners,1
shall,1
begin,1
trip,1
far,1
reaches,1
Pacific,1
Basin,1
winds,1
creating,1
markets,1
unleashing,1
served,1
representative,1
China,1
14,1
15,1
few,1
predicted,1
scope,1
witnessed,1
since,1
preparing,1
came,1
Chinese,1
writer,1
speaking,1
words,1
speak,1
Today,1
afraid,1
simple,1
goodness,1
mercy,1
kindness,1
succeed,1
rediscover,1
mark,1
birthday,1
Abraham,1
Lincoln,1
man,1
saved,1
gave,1
exists,1
duty,1
condition,1
assist,1
ameliorating,1
mankind,1
broader,1
call,1
definition,1
serving,1
others,1
sometimes,1
benefit,1
talent,1
called,1
YES,1
Youth,1
Entering,1
To,1
men,1
ultimate,1
product,1
term,1
avoid,1
temptation,1
quick,1
paper,1
profits,1
brave,1
wear,1
uniform,1
United,1
States,1
thank,1
Your,1
defenders,1
guarantors,1
liberty,1
grateful,1
farmers,1
appreciate,1
bounty,1
provide,1
open,1
agricultural,1
products,1
involved,1
childs,1
schooling,1
Check,1
homework,1
school,1
happening,1
Its,1
Say,1
Keep,1
alive,1
37,1
disability,1
belong,1
mainstream,1
talents,1
Disabled,1
become,1
watching,1
rooms,1
fast,1
dreams,1
ultimately,1
rests,1
cooperation,1
growing,1
cutting,1
generations,1
say,1
foresight,1
making,1
overcome,1
ingenuity,1
untiring,1
debate,1
begins,1
motives,1
Recalling,1
anniversaries,1
may,1
specialty,1
speeches,1
note,1
On,1
February,1
9th,1
1941,1
48,1
Sir,1
Winston,1
Churchill,1
took,1
airwaves,1
Britains,1
hour,1
peril,1
Hed,1
Roosevelt,1
handcarried,1
quoting,1
Longfellows,1
famous,1
poem,1
Sail,1
O,1
Ship,1
Humanity,1
fears,1
With,1
hopes,1
Is,1
hanging,1
breathless,1
thy,1
fate,1
responded,1
radio,1
broadcast,1
fail,1
falter,1
weaken,1
tire,1
Give,1
tools,1
finish,1
Tonight,1
half,1
later,1
immediate,1
perseverance,1
clearsighted,1
fortitude,1
cant,1
voices,1
bound,1
constraints,1
threatened,1
surrounded,1
troubles,1
limit,1
ability,1
Well,1
begun,1
timid,1
souls,1
repeat,1
plea,1
Thank,1
God,1
bless,1
